date,ticker,spot,total_gex,gamma_regime,flip_level,flip_dist_pct,put_flow_building
2026-06-09,SPY,735.44,-1812650523.41,SHORT_FRAGILE,,,True
2026-06-09,QQQ,705.09,-1357018901.26,SHORT_FRAGILE,,,True
2026-06-09,PANW,258.68,,UNKNOWN,,,True
2026-06-09,CNC,66.05,,UNKNOWN,,,False
2026-06-09,KRC,38.91,,UNKNOWN,,,False
2026-06-09,FTNT,137.37,,UNKNOWN,,,True
2026-06-09,GWW,1324.2,,UNKNOWN,,,False
2026-06-09,PBF,40.56,,UNKNOWN,,,False
2026-06-09,TFC,49.33,,UNKNOWN,,,True
2026-06-09,PSX,178.97,,UNKNOWN,,,False
2026-06-09,UNH,412.31,,UNKNOWN,,,False
2026-06-09,PINS,21.77,,UNKNOWN,,,True
2026-06-09,WFC,81.76,,UNKNOWN,,,True
2026-06-09,D,66.02,,UNKNOWN,,,False
2026-06-09,ETSY,69.2,,UNKNOWN,,,False
2026-06-09,ABBV,226.23,,UNKNOWN,,,False
2026-06-09,SJM,111.38,,UNKNOWN,,,False
2026-06-09,NCLH,19.09,,UNKNOWN,,,False
2026-06-09,TRV,298.93,,UNKNOWN,,,False
2026-06-09,GEO,26.68,,UNKNOWN,,,False
2026-06-09,BBY,75.22,,UNKNOWN,,,False
2026-06-09,PCG,16.66,,UNKNOWN,,,False
