signal_id,spot_at_5d,spot_at_10d,spot_at_20d,spot_at_40d,spot_at_primary_date,max_high_to_primary,max_low_to_primary,hit_primary,hit_range_low,hit_range_high,direction_correct,days_to_primary_hit,max_drawdown_pct,final_status,resolved_date,last_updated
trackb_cont_AAON_20260603,,,,,,150.460007,131.460007,,,,,,-10.5653,pending,,2026-06-09T13:25:01+00:00
trackb_cont_AAON_20260604,,,,,,145.770004,131.460007,,,,,,-10.5653,pending,,2026-06-09T13:25:01+00:00
trackb_cont_AAON_20260605,,,,,,141.729996,131.460007,,,,,,-10.5653,pending,,2026-06-09T13:25:01+00:00
trackb_cont_AAON_20260608,,,,,,137.669998,131.929993,,,,,,-10.2456,pending,,2026-06-09T13:25:01+00:00
trackb_cont_AAPL_20260603,,,,,,317.399994,301.170013,,,,,,-3.3162,pending,,2026-06-09T13:24:25+00:00
trackb_cont_AAPL_20260604,,,,,,317.399994,301.170013,,,,,,-3.3162,pending,,2026-06-09T13:24:25+00:00
trackb_cont_AAPL_20260605,,,,,,317.399994,301.170013,,,,,,-3.3162,pending,,2026-06-09T13:24:25+00:00
trackb_cont_AAPL_20260608,,,,,,317.399994,301.170013,,,,,,-3.3162,pending,,2026-06-09T13:24:25+00:00
trackb_cont_AAT_20260603,,,,,,24.24,23.190001,,,,,,-0.3438,pending,,2026-06-09T13:25:04+00:00
trackb_cont_AAT_20260604,,,,,,24.24,23.32,,,,,,0.2149,pending,,2026-06-09T13:25:04+00:00
trackb_cont_AAT_20260605,,,,,,24.24,23.59,,,,,,1.3752,pending,,2026-06-09T13:25:04+00:00
trackb_cont_AAT_20260608,,,,,,24.24,23.66,,,,,,-0.0,pending,,2026-06-09T13:25:04+00:00
trackb_cont_ABAT_20260603,,,,,,4.25,3.05,,,,,,-17.3464,pending,,2026-06-09T13:24:41+00:00
trackb_cont_ABAT_20260604,,,,,,4.25,3.05,,,,,,-17.3464,pending,,2026-06-09T13:24:41+00:00
trackb_cont_ABAT_20260605,,,,,,4.25,3.05,,,,,,-17.3464,pending,,2026-06-09T13:24:41+00:00
trackb_cont_ABAT_20260608,,,,,,4.25,3.36,,,,,,-8.9456,pending,,2026-06-09T13:24:41+00:00
trackb_cont_ABBV_20260603,,,,,,230.470001,213.729996,,,,,,-2.2457,pending,,2026-06-09T13:25:54+00:00
trackb_cont_ABBV_20260604,,,,,,230.470001,219.839996,,,,,,0.5488,pending,,2026-06-09T13:25:54+00:00
trackb_cont_ABBV_20260605,,,,,,230.470001,221.169998,,,,,,1.1572,pending,,2026-06-09T13:25:54+00:00
trackb_cont_ABBV_20260608,,,,,,228.580002,221.169998,,,,,,-2.6669,pending,,2026-06-09T13:25:54+00:00
trackb_cont_ABBV_20260609,,,,,,,,,,,,,,pending,,2026-06-09T13:25:54+00:00
trackb_cont_ACEL_20260609,,,,,,,,,,,,,,pending,,2026-06-09T13:26:46+00:00
trackb_cont_ACMR_20260603,,,,,,93.5,75.610001,,,,,,-15.2022,pending,,2026-06-09T13:24:46+00:00
trackb_cont_ACMR_20260604,,,,,,91.559998,75.610001,,,,,,-15.2022,pending,,2026-06-09T13:24:46+00:00
trackb_cont_ACMR_20260605,,,,,,86.309998,75.610001,,,,,,-15.2022,pending,,2026-06-09T13:24:46+00:00
trackb_cont_ACMR_20260608,,,,,,83.830002,78.845001,,,,,,-11.574,pending,,2026-06-09T13:24:46+00:00
trackb_cont_ACVA_20260603,,,,,,6.2,5.54,,,,,,-6.6554,pending,,2026-06-09T13:26:07+00:00
trackb_cont_ACVA_20260604,,,,,,6.06,5.54,,,,,,-6.6554,pending,,2026-06-09T13:26:07+00:00
trackb_cont_ACVA_20260605,,,,,,5.94,5.54,,,,,,-6.6554,pending,,2026-06-09T13:26:07+00:00
trackb_cont_ACVA_20260608,,,,,,5.705,5.555,,,,,,-6.4027,pending,,2026-06-09T13:26:07+00:00
trackb_cont_ADI_20260603,,,,,,439.700012,401.26001,,,,,,-6.9477,pending,,2026-06-09T13:25:47+00:00
