signal_id,spot_at_5d,spot_at_10d,spot_at_20d,spot_at_40d,spot_at_primary_date,max_high_to_primary,max_low_to_primary,hit_primary,hit_range_low,hit_range_high,direction_correct,days_to_primary_hit,max_drawdown_pct,final_status,resolved_date,last_updated
trackb_cont_AAON_20260603,121.120003,,,,,150.460007,118.610001,,,,,,-19.3074,pending,,2026-06-11T13:01:19+00:00
trackb_cont_AAON_20260604,,,,,,145.770004,118.610001,,,,,,-19.3074,pending,,2026-06-11T13:01:19+00:00
trackb_cont_AAON_20260605,,,,,,141.729996,118.610001,,,,,,-19.3074,pending,,2026-06-11T13:01:19+00:00
trackb_cont_AAON_20260608,,,,,,138.660004,118.610001,,,,,,-19.3074,pending,,2026-06-11T13:01:19+00:00
trackb_cont_AAPL_20260603,291.579987,,,,,317.399994,287.380005,,,,,,-7.7432,pending,,2026-06-11T13:00:36+00:00
trackb_cont_AAPL_20260604,,,,,,317.399994,287.380005,,,,,,-7.7432,pending,,2026-06-11T13:00:36+00:00
trackb_cont_AAPL_20260605,,,,,,317.399994,287.380005,,,,,,-7.7432,pending,,2026-06-11T13:00:36+00:00
trackb_cont_AAPL_20260608,,,,,,317.399994,287.380005,,,,,,-7.7432,pending,,2026-06-11T13:00:36+00:00
trackb_cont_AAT_20260603,24.5,,,,,24.809999,23.190001,,,,,,-0.3438,pending,,2026-06-11T13:01:22+00:00
trackb_cont_AAT_20260604,,,,,,24.809999,23.32,,,,,,0.2149,pending,,2026-06-11T13:01:22+00:00
trackb_cont_AAT_20260605,,,,,,24.809999,23.59,,,,,,1.3752,pending,,2026-06-11T13:01:22+00:00
trackb_cont_AAT_20260608,,,,,,24.809999,23.66,,,,,,-0.0,pending,,2026-06-11T13:01:22+00:00
trackb_cont_AAT_20260611,,,,,,,,,,,,,,pending,,2026-06-11T13:01:22+00:00
trackb_cont_ABAT_20260603,3.075,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-11T13:00:59+00:00
trackb_cont_ABAT_20260604,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-11T13:00:59+00:00
trackb_cont_ABAT_20260605,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-11T13:00:59+00:00
trackb_cont_ABAT_20260608,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-11T13:00:59+00:00
trackb_cont_ABBV_20260603,224.949997,,,,,230.470001,213.729996,,,,,,-2.2457,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABBV_20260604,,,,,,230.470001,219.839996,,,,,,0.5488,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABBV_20260605,,,,,,230.470001,221.169998,,,,,,1.1572,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABBV_20260608,,,,,,228.580002,221.169998,,,,,,-2.6669,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABBV_20260609,,,,,,227.139999,221.720001,,,,,,-0.6052,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABBV_20260610,,,,,,227.139999,224.119995,,,,,,0.4707,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABBV_20260611,,,,,,,,,,,,,,pending,,2026-06-11T13:02:10+00:00
trackb_cont_ABM_20260611,,,,,,,,,,,,,,pending,,2026-06-11T13:03:21+00:00
trackb_cont_ACEL_20260609,,,,,,13.25,12.25,,,,,,1.4073,pending,,2026-06-11T13:03:01+00:00
trackb_cont_ACMR_20260603,79.959999,,,,,93.5,74.190002,,,,,,-16.7947,pending,,2026-06-11T13:01:03+00:00
trackb_cont_ACMR_20260604,,,,,,91.559998,74.190002,,,,,,-16.7947,pending,,2026-06-11T13:01:03+00:00
trackb_cont_ACMR_20260605,,,,,,88.990997,74.190002,,,,,,-16.7947,pending,,2026-06-11T13:01:03+00:00
trackb_cont_ACMR_20260608,,,,,,88.990997,74.190002,,,,,,-16.7947,pending,,2026-06-11T13:01:03+00:00
trackb_cont_ACVA_20260603,5.94,,,,,6.2,5.54,,,,,,-6.6554,pending,,2026-06-11T13:02:23+00:00
trackb_cont_ACVA_20260604,,,,,,6.06,5.54,,,,,,-6.6554,pending,,2026-06-11T13:02:23+00:00
