signal_id,spot_at_5d,spot_at_10d,spot_at_20d,spot_at_40d,spot_at_primary_date,max_high_to_primary,max_low_to_primary,hit_primary,hit_range_low,hit_range_high,direction_correct,days_to_primary_hit,max_drawdown_pct,final_status,resolved_date,last_updated
trackb_cont_AAON_20260603,,,,,,150.460007,124.25,,,,,,-15.4704,pending,,2026-06-10T13:04:09+00:00
trackb_cont_AAON_20260604,,,,,,145.770004,124.25,,,,,,-15.4704,pending,,2026-06-10T13:04:09+00:00
trackb_cont_AAON_20260605,,,,,,141.729996,124.25,,,,,,-15.4704,pending,,2026-06-10T13:04:09+00:00
trackb_cont_AAON_20260608,,,,,,138.660004,124.25,,,,,,-15.4704,pending,,2026-06-10T13:04:09+00:00
trackb_cont_AAPL_20260603,,,,,,317.399994,287.779999,,,,,,-7.6148,pending,,2026-06-10T13:03:32+00:00
trackb_cont_AAPL_20260604,,,,,,317.399994,287.779999,,,,,,-7.6148,pending,,2026-06-10T13:03:32+00:00
trackb_cont_AAPL_20260605,,,,,,317.399994,287.779999,,,,,,-7.6148,pending,,2026-06-10T13:03:32+00:00
trackb_cont_AAPL_20260608,,,,,,317.399994,287.779999,,,,,,-7.6148,pending,,2026-06-10T13:03:32+00:00
trackb_cont_AAT_20260603,,,,,,24.67,23.190001,,,,,,-0.3438,pending,,2026-06-10T13:04:12+00:00
trackb_cont_AAT_20260604,,,,,,24.67,23.32,,,,,,0.2149,pending,,2026-06-10T13:04:12+00:00
trackb_cont_AAT_20260605,,,,,,24.67,23.59,,,,,,1.3752,pending,,2026-06-10T13:04:12+00:00
trackb_cont_AAT_20260608,,,,,,24.67,23.66,,,,,,-0.0,pending,,2026-06-10T13:04:12+00:00
trackb_cont_ABAT_20260603,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-10T13:03:49+00:00
trackb_cont_ABAT_20260604,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-10T13:03:49+00:00
trackb_cont_ABAT_20260605,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-10T13:03:49+00:00
trackb_cont_ABAT_20260608,,,,,,4.25,3.03,,,,,,-17.8884,pending,,2026-06-10T13:03:49+00:00
trackb_cont_ABBV_20260603,,,,,,230.470001,213.729996,,,,,,-2.2457,pending,,2026-06-10T13:05:00+00:00
trackb_cont_ABBV_20260604,,,,,,230.470001,219.839996,,,,,,0.5488,pending,,2026-06-10T13:05:00+00:00
trackb_cont_ABBV_20260605,,,,,,230.470001,221.169998,,,,,,1.1572,pending,,2026-06-10T13:05:00+00:00
trackb_cont_ABBV_20260608,,,,,,228.580002,221.169998,,,,,,-2.6669,pending,,2026-06-10T13:05:00+00:00
trackb_cont_ABBV_20260609,,,,,,227.139999,221.720001,,,,,,-0.6052,pending,,2026-06-10T13:05:00+00:00
trackb_cont_ABBV_20260610,,,,,,,,,,,,,,pending,,2026-06-10T13:05:00+00:00
trackb_cont_ACEL_20260609,,,,,,12.65,12.25,,,,,,1.4073,pending,,2026-06-10T13:05:52+00:00
trackb_cont_ACMR_20260603,,,,,,93.5,74.190002,,,,,,-16.7947,pending,,2026-06-10T13:03:54+00:00
trackb_cont_ACMR_20260604,,,,,,91.559998,74.190002,,,,,,-16.7947,pending,,2026-06-10T13:03:54+00:00
trackb_cont_ACMR_20260605,,,,,,88.990997,74.190002,,,,,,-16.7947,pending,,2026-06-10T13:03:54+00:00
trackb_cont_ACMR_20260608,,,,,,88.990997,74.190002,,,,,,-16.7947,pending,,2026-06-10T13:03:54+00:00
trackb_cont_ACVA_20260603,,,,,,6.2,5.54,,,,,,-6.6554,pending,,2026-06-10T13:05:12+00:00
trackb_cont_ACVA_20260604,,,,,,6.06,5.54,,,,,,-6.6554,pending,,2026-06-10T13:05:12+00:00
trackb_cont_ACVA_20260605,,,,,,5.94,5.54,,,,,,-6.6554,pending,,2026-06-10T13:05:12+00:00
trackb_cont_ACVA_20260608,,,,,,5.915,5.555,,,,,,-6.4027,pending,,2026-06-10T13:05:12+00:00
trackb_cont_ADI_20260603,,,,,,439.700012,383.320007,,,,,,-11.108,pending,,2026-06-10T13:04:53+00:00
trackb_cont_ADI_20260604,,,,,,432.269989,383.320007,,,,,,-11.108,pending,,2026-06-10T13:04:53+00:00
trackb_cont_ADI_20260605,,,,,,419.640015,383.320007,,,,,,-11.108,pending,,2026-06-10T13:04:53+00:00
trackb_cont_ADI_20260608,,,,,,415.0,383.320007,,,,,,-4.5019,pending,,2026-06-10T13:04:53+00:00
trackb_cont_ADM_20260603,,,,,,85.370003,79.07,,,,,,-6.7955,pending,,2026-06-10T13:04:26+00:00
trackb_cont_ADM_20260604,,,,,,84.739998,79.07,,,,,,-6.7955,pending,,2026-06-10T13:04:26+00:00
trackb_cont_ADM_20260605,,,,,,83.190002,79.07,,,,,,-6.7955,pending,,2026-06-10T13:04:26+00:00
trackb_cont_ADM_20260608,,,,,,82.690002,79.07,,,,,,-6.7955,pending,,2026-06-10T13:04:26+00:00
trackb_cont_ADP_20260603,,,,,,237.110001,225.0,,,,,,-0.3234,pending,,2026-06-10T13:04:18+00:00
trackb_cont_ADP_20260604,,,,,,237.110001,225.544998,,,,,,-0.082,pending,,2026-06-10T13:04:18+00:00
trackb_cont_ADP_20260605,,,,,,234.850006,225.544998,,,,,,-0.082,pending,,2026-06-10T13:04:18+00:00
trackb_cont_ADP_20260608,,,,,,231.610001,225.544998,,,,,,-0.082,pending,,2026-06-10T13:04:18+00:00
trackb_cont_ADP_20260609,,,,,,231.589996,225.544998,,,,,,-1.5431,pending,,2026-06-10T13:04:18+00:00
trackb_cont_ADTN_20260603,,,,,,18.299999,14.0,,,,,,-19.1219,pending,,2026-06-10T13:05:18+00:00
trackb_cont_ADTN_20260604,,,,,,17.32,14.0,,,,,,-19.1219,pending,,2026-06-10T13:05:18+00:00
trackb_cont_ADTN_20260605,,,,,,17.059999,14.0,,,,,,-19.1219,pending,,2026-06-10T13:05:18+00:00
trackb_cont_ADTN_20260608,,,,,,17.059999,14.0,,,,,,-19.1219,pending,,2026-06-10T13:05:18+00:00
trackb_cont_AEHR_20260603,,,,,,121.800003,84.614998,,,,,,-26.3769,pending,,2026-06-10T13:03:39+00:00
trackb_cont_AEHR_20260604,,,,,,119.470001,84.614998,,,,,,-26.3769,pending,,2026-06-10T13:03:39+00:00
trackb_cont_AEHR_20260605,,,,,,111.790001,84.614998,,,,,,-26.3769,pending,,2026-06-10T13:03:39+00:00
trackb_cont_AEHR_20260608,,,,,,106.519997,84.614998,,,,,,-26.3769,pending,,2026-06-10T13:03:39+00:00
trackb_cont_AFL_20260610,,,,,,,,,,,,,,pending,,2026-06-10T13:06:03+00:00
trackb_cont_AFRM_20260603,,,,,,70.650002,62.439999,,,,,,-4.8823,pending,,2026-06-10T13:05:14+00:00
trackb_cont_AFRM_20260604,,,,,,69.144997,62.439999,,,,,,-4.8823,pending,,2026-06-10T13:05:14+00:00
trackb_cont_AFRM_20260605,,,,,,68.699997,62.439999,,,,,,-4.8823,pending,,2026-06-10T13:05:14+00:00
trackb_cont_AGL_20260603,,,,,,104.546997,80.0,,,,,,-5.482,pending,,2026-06-10T13:04:17+00:00
trackb_cont_AGL_20260604,,,,,,104.546997,83.294998,,,,,,-1.5891,pending,,2026-06-10T13:04:17+00:00
trackb_cont_AGL_20260605,,,,,,104.546997,91.168999,,,,,,7.7138,pending,,2026-06-10T13:04:17+00:00
trackb_cont_AGL_20260608,,,,,,104.546997,93.769997,,,,,,10.7869,pending,,2026-06-10T13:04:17+00:00
trackb_cont_AHRT_20260603,,,,,,6.94,6.59,,,,,,-0.153,pending,,2026-06-10T13:04:54+00:00
trackb_cont_AHRT_20260604,,,,,,6.94,6.7,,,,,,1.5136,pending,,2026-06-10T13:04:54+00:00
trackb_cont_AHRT_20260605,,,,,,6.94,6.7,,,,,,1.5136,pending,,2026-06-10T13:04:54+00:00
trackb_cont_AHRT_20260608,,,,,,6.94,6.73,,,,,,1.9682,pending,,2026-06-10T13:04:54+00:00
trackb_cont_AIT_20260610,,,,,,,,,,,,,,pending,,2026-06-10T13:06:02+00:00
trackb_cont_AIV_20260603,,,,,,4.3,2.89,,,,,,-32.3977,pending,,2026-06-10T13:04:57+00:00
trackb_cont_AIV_20260604,,,,,,3.1,2.89,,,,,,-32.3977,pending,,2026-06-10T13:04:57+00:00
trackb_cont_AIV_20260605,,,,,,3.1,2.89,,,,,,-32.3977,pending,,2026-06-10T13:04:57+00:00
trackb_cont_AIZ_20260609,,,,,,253.940002,248.820007,,,,,,-1.2697,pending,,2026-06-10T13:05:51+00:00
trackb_cont_AIZ_20260610,,,,,,,,,,,,,,pending,,2026-06-10T13:05:51+00:00
trackb_cont_AJG_20260608,,,,,,219.520004,211.5,,,,,,-2.1468,pending,,2026-06-10T13:05:25+00:00
trackb_cont_AJG_20260610,,,,,,,,,,,,,,pending,,2026-06-10T13:05:25+00:00
trackb_cont_AKAM_20260603,,,,,,164.800003,132.5784,,,,,,-18.2825,pending,,2026-06-10T13:04:08+00:00
trackb_cont_AKAM_20260604,,,,,,160.880005,132.5784,,,,,,-18.2825,pending,,2026-06-10T13:04:08+00:00
trackb_cont_AKAM_20260605,,,,,,158.050003,132.5784,,,,,,-18.2825,pending,,2026-06-10T13:04:08+00:00
trackb_cont_AKAM_20260608,,,,,,150.360001,132.5784,,,,,,-18.2825,pending,,2026-06-10T13:04:08+00:00
trackb_cont_ALAB_20260603,,,,,,372.369995,303.0,,,,,,-14.5877,pending,,2026-06-10T13:03:32+00:00
trackb_cont_ALAB_20260604,,,,,,372.140015,303.0,,,,,,-14.5877,pending,,2026-06-10T13:03:32+00:00
trackb_cont_ALAB_20260605,,,,,,372.140015,303.0,,,,,,-14.5877,pending,,2026-06-10T13:03:32+00:00
trackb_cont_ALAB_20260608,,,,,,372.140015,303.0,,,,,,-14.5877,pending,,2026-06-10T13:03:32+00:00
trackb_cont_ALGT_20260603,,,,,,88.959999,81.889999,,,,,,-3.386,pending,,2026-06-10T13:05:06+00:00
trackb_cont_ALGT_20260604,,,,,,88.959999,81.889999,,,,,,-3.386,pending,,2026-06-10T13:05:06+00:00
trackb_cont_ALGT_20260605,,,,,,88.959999,81.889999,,,,,,-3.386,pending,,2026-06-10T13:05:06+00:00
trackb_cont_ALGT_20260608,,,,,,88.959999,81.889999,,,,,,-3.386,pending,,2026-06-10T13:05:06+00:00
trackb_cont_ALL_20260610,,,,,,,,,,,,,,pending,,2026-06-10T13:06:05+00:00
trackb_cont_ALM_20260603,,,,,,21.24,14.7,,,,,,-28.2752,pending,,2026-06-10T13:05:13+00:00
trackb_cont_ALM_20260604,,,,,,21.24,14.7,,,,,,-28.2752,pending,,2026-06-10T13:05:13+00:00
trackb_cont_ALM_20260605,,,,,,18.0,14.7,,,,,,-28.2752,pending,,2026-06-10T13:05:13+00:00
trackb_cont_ALNT_20260603,,,,,,91.110001,82.669998,,,,,,-3.1627,pending,,2026-06-10T13:03:53+00:00
trackb_cont_ALNT_20260604,,,,,,91.110001,82.669998,,,,,,-3.1627,pending,,2026-06-10T13:03:53+00:00
trackb_cont_ALNT_20260605,,,,,,90.224998,82.669998,,,,,,-3.1627,pending,,2026-06-10T13:03:53+00:00
trackb_cont_ALNT_20260608,,,,,,90.224998,82.669998,,,,,,-3.1627,pending,,2026-06-10T13:03:53+00:00
trackb_cont_ALNT_20260609,,,,,,90.224998,82.669998,,,,,,-5.1732,pending,,2026-06-10T13:03:53+00:00
