signal_id,spot_at_5d,spot_at_10d,spot_at_20d,spot_at_40d,spot_at_primary_date,max_high_to_primary,max_low_to_primary,hit_primary,hit_range_low,hit_range_high,direction_correct,days_to_primary_hit,max_drawdown_pct,final_status,resolved_date,last_updated
trackb_cont_AAON_20260603,,,,,,150.460007,138.199997,,,,,,-5.98,pending,,2026-06-05T13:07:57+00:00
trackb_cont_AAON_20260604,,,,,,145.770004,138.199997,,,,,,-5.98,pending,,2026-06-05T13:07:57+00:00
trackb_cont_AAON_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:07:57+00:00
trackb_cont_AAPL_20260603,,,,,,316.940002,308.850006,,,,,,-0.8507,pending,,2026-06-05T13:07:13+00:00
trackb_cont_AAPL_20260604,,,,,,313.540009,309.649994,,,,,,-0.5939,pending,,2026-06-05T13:07:13+00:00
trackb_cont_AAPL_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:07:13+00:00
trackb_cont_AAT_20260603,,,,,,23.969999,23.190001,,,,,,-0.3438,pending,,2026-06-05T13:08:00+00:00
trackb_cont_AAT_20260604,,,,,,23.969999,23.32,,,,,,0.2149,pending,,2026-06-05T13:08:00+00:00
trackb_cont_AAT_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:08:00+00:00
trackb_cont_ABAT_20260603,,,,,,3.85,3.52,,,,,,-4.6096,pending,,2026-06-05T13:07:32+00:00
trackb_cont_ABAT_20260604,,,,,,3.79,3.52,,,,,,-4.6096,pending,,2026-06-05T13:07:32+00:00
trackb_cont_ABAT_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:07:32+00:00
trackb_cont_ABBV_20260603,,,,,,224.979996,213.729996,,,,,,-2.2457,pending,,2026-06-05T13:08:57+00:00
trackb_cont_ABBV_20260604,,,,,,224.979996,219.839996,,,,,,0.5488,pending,,2026-06-05T13:08:57+00:00
trackb_cont_ABBV_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:08:57+00:00
trackb_cont_ACMR_20260603,,,,,,93.5,83.599998,,,,,,-6.2412,pending,,2026-06-05T13:07:38+00:00
trackb_cont_ACMR_20260604,,,,,,91.559998,83.599998,,,,,,-6.2412,pending,,2026-06-05T13:07:38+00:00
trackb_cont_ACMR_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:07:38+00:00
trackb_cont_ACVA_20260603,,,,,,6.2,5.715,,,,,,-3.7068,pending,,2026-06-05T13:09:12+00:00
trackb_cont_ACVA_20260604,,,,,,6.06,5.77,,,,,,-2.7801,pending,,2026-06-05T13:09:12+00:00
trackb_cont_ACVA_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:09:12+00:00
trackb_cont_ADI_20260603,,,,,,439.700012,418.220001,,,,,,-3.0147,pending,,2026-06-05T13:08:49+00:00
trackb_cont_ADI_20260604,,,,,,432.269989,420.589996,,,,,,-2.4651,pending,,2026-06-05T13:08:49+00:00
trackb_cont_ADI_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:08:49+00:00
trackb_cont_ADM_20260603,,,,,,85.370003,82.43,,,,,,-2.8349,pending,,2026-06-05T13:08:17+00:00
trackb_cont_ADM_20260604,,,,,,84.739998,82.559998,,,,,,-2.6817,pending,,2026-06-05T13:08:17+00:00
trackb_cont_ADM_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:08:17+00:00
trackb_cont_ADP_20260603,,,,,,237.110001,225.0,,,,,,-0.3234,pending,,2026-06-05T13:08:08+00:00
trackb_cont_ADP_20260604,,,,,,237.110001,230.070007,,,,,,1.9227,pending,,2026-06-05T13:08:08+00:00
trackb_cont_ADP_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:08:08+00:00
trackb_cont_ADTN_20260603,,,,,,18.299999,16.1,,,,,,-6.9902,pending,,2026-06-05T13:09:20+00:00
trackb_cont_ADTN_20260604,,,,,,17.32,16.1,,,,,,-6.9902,pending,,2026-06-05T13:09:20+00:00
trackb_cont_ADTN_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:09:20+00:00
trackb_cont_AEHR_20260603,,,,,,121.800003,103.18,,,,,,-10.2236,pending,,2026-06-05T13:07:21+00:00
trackb_cont_AEHR_20260604,,,,,,119.470001,103.18,,,,,,-10.2236,pending,,2026-06-05T13:07:21+00:00
trackb_cont_AEHR_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:07:21+00:00
trackb_cont_AFRM_20260603,,,,,,70.650002,64.900002,,,,,,-1.1349,pending,,2026-06-05T13:09:15+00:00
trackb_cont_AFRM_20260604,,,,,,69.144997,65.879997,,,,,,0.358,pending,,2026-06-05T13:09:15+00:00
trackb_cont_AFRM_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:09:15+00:00
trackb_cont_AGL_20260603,,,,,,98.529999,80.0,,,,,,-5.482,pending,,2026-06-05T13:08:06+00:00
trackb_cont_AGL_20260604,,,,,,98.529999,83.345001,,,,,,-1.53,pending,,2026-06-05T13:08:06+00:00
trackb_cont_AGL_20260605,,,,,,,,,,,,,,pending,,2026-06-05T13:08:06+00:00
trackb_cont_AHRT_20260603,,,,,,6.83,6.59,,,,,,-0.153,pending,,2026-06-05T13:08:51+00:00
